Datetime,usdrub
2007-01-01,26.30500030517578
2007-01-02,26.30500030517578
2007-01-03,26.325000762939453
2007-01-04,26.388999938964844
2007-01-05,26.46500015258789
2007-01-08,26.469999313354492
2007-01-09,26.482999801635742
2007-01-10,26.54599952697754
2007-01-11,26.597000122070312
2007-01-12,26.590999603271484
2007-01-15,26.566999435424805
2007-01-16,26.566999435424805
2007-01-17,26.55299949645996
2007-01-18,26.518999099731445
2007-01-19,26.51799964904785
2007-01-22,26.538000106811523
2007-01-23,26.481000900268555
2007-01-24,26.525999069213867
2007-01-25,26.533000946044922
2007-01-26,26.56599998474121
2007-01-29,26.527999877929688
2007-01-30,26.53700065612793
2007-01-31,26.476999282836914
2007-02-01,26.476999282836914
2007-02-02,26.506000518798828
2007-02-05,26.540000915527344
2007-02-06,26.49799919128418
2007-02-07,26.46500015258789
2007-02-08,26.31800079345703
2007-02-09,26.357999801635742
2007-02-12,26.389999389648438
2007-02-13,26.340999603271484
2007-02-14,26.233999252319336
2007-02-15,26.219999313354492
2007-02-16,26.218000411987305
2007-02-19,26.202999114990234
2007-02-20,26.208999633789062
2007-02-21,26.208999633789062
2007-02-22,26.222999572753906
2007-02-23,26.18000030517578
2007-02-26,26.152999877929688
2007-02-27,26.118000030517578
2007-02-28,26.11400032043457
2007-03-01,26.17799949645996
2007-03-02,26.15049934387207
2007-03-05,26.270999908447266
2007-03-06,26.21500015258789
2007-03-07,26.19300079345703
2007-03-08,26.222999572753906
2007-03-09,26.229000091552734
2007-03-12,26.15999984741211
2007-03-13,26.163999557495117
2007-03-14,26.117000579833984
2007-03-15,26.101999282836914
2007-03-16,26.03230094909668
2007-03-19,26.031999588012695
2007-03-20,26.018999099731445
2007-03-21,25.929000854492188
2007-03-22,26.006000518798828
2007-03-23,26.058000564575195
2007-03-26,26.003999710083008
2007-03-27,25.981000900268555
2007-03-28,26.027000427246094
2007-03-29,26.006999969482422
2007-03-30,25.985000610351562
2007-04-02,25.975000381469727
2007-04-03,26.045000076293945
2007-04-04,26.045000076293945
2007-04-05,25.910999298095703
2007-04-06,25.965499877929688
2007-04-09,25.983999252319336
2007-04-10,25.90999984741211
2007-04-11,26.045000076293945
2007-04-12,25.844999313354492
2007-04-13,25.808000564575195
2007-04-16,25.805999755859375
2007-04-17,25.767000198364258
2007-04-18,25.72100067138672
2007-04-19,25.715999603271484
2007-04-20,25.746000289916992
2007-04-23,25.753999710083008
2007-04-24,25.70199966430664
2007-04-25,25.700000762939453
2007-04-26,25.749000549316406
2007-04-27,25.684999465942383
2007-04-30,25.687999725341797
2007-05-01,25.742000579833984
2007-05-02,25.7450008392334
2007-05-03,25.784000396728516
2007-05-04,25.742000579833984
2007-05-07,25.736000061035156
2007-05-08,25.802000045776367
2007-05-09,25.81399917602539
2007-05-10,25.85300064086914
2007-05-11,25.80929946899414
2007-05-14,25.792999267578125
2007-05-15,25.73900032043457
2007-05-16,25.81399917602539
2007-05-17,25.83799934387207
2007-05-18,25.81999969482422
2007-05-21,25.8799991607666
2007-05-22,25.882999420166016
2007-05-23,25.84950065612793
2007-05-24,25.91699981689453
2007-05-25,25.895000457763672
2007-05-28,25.84950065612793
2007-05-29,25.84950065612793
2007-05-30,25.909000396728516
2007-05-31,25.864999771118164
2007-06-01,25.886999130249023
2007-06-04,25.858999252319336
2007-06-05,25.84950065612793
2007-06-06,25.84950065612793
2007-06-07,25.90999984741211
2007-06-08,25.966999053955078
2007-06-11,25.982999801635742
2007-06-12,25.84950065612793
2007-06-13,26.038999557495117
2007-06-14,26.035999298095703
2007-06-15,25.95800018310547
2007-06-18,25.93199920654297
2007-06-19,25.92300033569336
2007-06-20,25.84950065612793
2007-06-21,25.94099998474121
2007-06-22,25.881500244140625
2007-06-25,25.878000259399414
2007-06-26,25.802000045776367
2007-06-27,25.84950065612793
2007-06-28,25.815000534057617
2007-06-29,25.71299934387207
2007-07-02,25.639999389648438
2007-07-03,25.84950065612793
2007-07-04,25.84950065612793
2007-07-05,25.68199920654297
2007-07-06,25.71299934387207
2007-07-09,25.66200065612793
2007-07-10,25.524999618530273
2007-07-11,25.84950065612793
2007-07-12,25.493000030517578
2007-07-13,25.45800018310547
2007-07-16,25.475000381469727
2007-07-17,25.45199966430664
2007-07-18,25.426000595092773
2007-07-19,25.42300033569336
2007-07-20,25.384000778198242
2007-07-23,25.409000396728516
2007-07-24,25.38599967956543
2007-07-25,25.489999771118164
2007-07-26,25.46500015258789
2007-07-27,25.607999801635742
2007-07-30,25.535999298095703
2007-07-31,25.573999404907227
2007-08-01,25.579999923706055
2007-08-02,25.558000564575195
2007-08-03,25.488000869750977
2007-08-06,25.482999801635742
2007-08-07,25.469999313354492
2007-08-08,25.426000595092773
2007-08-09,25.45800018310547
2007-08-10,25.458999633789062
2007-08-13,25.54400062561035
2007-08-14,25.599000930786133
2007-08-15,25.716999053955078
2007-08-16,25.76300048828125
2007-08-17,25.768999099731445
2007-08-20,25.7810001373291
2007-08-21,25.905000686645508
2007-08-22,25.756999969482422
2007-08-23,25.731000900268555
2007-08-24,25.67300033569336
2007-08-27,25.67799949645996
2007-08-28,25.746000289916992
2007-08-29,25.631999969482422
2007-08-30,25.63800048828125
2007-08-31,25.650999069213867
2007-09-03,25.614999771118164
2007-09-04,25.660999298095703
2007-09-05,25.62299919128418
2007-09-06,25.64299964904785
2007-09-07,25.562999725341797
2007-09-11,25.45199966430664
2007-09-12,25.371000289916992
2007-09-13,25.36199951171875
2007-09-14,25.333999633789062
2007-09-17,25.34000015258789
2007-09-18,25.33769989013672
