Datetime,moexog,moexfn,moexmm,moexcn,moexeu,moextl,moexch,moextn,moexit,moexre,imoex,rtsi
1995-09-01,,,,,,,,,,,,
1995-09-04,,,,,,,,,,,,-0.0020120227609545793
1995-09-05,,,,,,,,,,,,0.006173352406182886
1995-09-06,,,,,,,,,,,,-0.006754689497827648
1995-09-07,,,,,,,,,,,,0.015519456738732451
1995-09-08,,,,,,,,,,,,-9.871619587542568e-06
1995-09-11,,,,,,,,,,,,-0.0045513089349178415
1995-09-12,,,,,,,,,,,,-0.0059677917319067575
1995-09-13,,,,,,,,,,,,-0.01084268818325107
1995-09-14,,,,,,,,,,,,-0.0036776262187805386
1995-09-15,,,,,,,,,,,,0.005108645308093074
1995-09-18,,,,,,,,,,,,0.0054132631272434395
1995-09-19,,,,,,,,,,,,-0.0030495168484536705
1995-09-20,,,,,,,,,,,,-0.0035023485409597654
1995-09-21,,,,,,,,,,,,-0.029829133571491084
1995-09-22,,,,,,,,,,,,-0.023627201303813017
1995-09-25,,,,,,,,,,,,-0.030922560772456364
1995-09-26,,,,,,,,,,,,-0.03556272690352902
1995-09-27,,,,,,,,,,,,0.0022367182943172637
1995-09-28,,,,,,,,,,,,0.010121669530755995
1995-09-29,,,,,,,,,,,,-0.03406377560739671
1995-10-02,,,,,,,,,,,,-0.036493277176379735
1995-10-03,,,,,,,,,,,,-0.05716762687327215
1995-10-04,,,,,,,,,,,,-0.08426553036699769
1995-10-05,,,,,,,,,,,,0.040484422283253885
1995-10-06,,,,,,,,,,,,-0.01170309550709625
1995-10-09,,,,,,,,,,,,0.041029092815023205
1995-10-10,,,,,,,,,,,,-0.011048829563508278
1995-10-11,,,,,,,,,,,,-0.008080506984597946
1995-10-12,,,,,,,,,,,,0.008839212512450345
1995-10-13,,,,,,,,,,,,0.013004320943026393
1995-10-16,,,,,,,,,,,,0.007983432835942494
1995-10-17,,,,,,,,,,,,0.007132270127634399
1995-10-18,,,,,,,,,,,,0.004338621747288052
1995-10-19,,,,,,,,,,,,0.0032732012415470635
1995-10-20,,,,,,,,,,,,0.0011727100400129586
1995-10-23,,,,,,,,,,,,-0.002372061271716852
1995-10-24,,,,,,,,,,,,-0.0010110968733787473
1995-10-25,,,,,,,,,,,,0.0007457828853532078
1995-10-26,,,,,,,,,,,,-0.013100179714348847
1995-10-27,,,,,,,,,,,,-0.029267720440510736
1995-10-30,,,,,,,,,,,,-0.013003049146891321
1995-10-31,,,,,,,,,,,,-0.0178266967087497
1995-11-01,,,,,,,,,,,,-0.011664531224734986
1995-11-02,,,,,,,,,,,,-0.0655238486459977
1995-11-03,,,,,,,,,,,,0.027321570797925965
1995-11-08,,,,,,,,,,,,0.010395529216599364
1995-11-09,,,,,,,,,,,,0.006935829686472772
1995-11-10,,,,,,,,,,,,-0.0031263546239266304
1995-11-13,,,,,,,,,,,,0.008906637221579139
1995-11-14,,,,,,,,,,,,-0.004290332520794138
1995-11-15,,,,,,,,,,,,-0.004881936801888642
1995-11-16,,,,,,,,,,,,-0.00750875451636368
1995-11-17,,,,,,,,,,,,0.004231486558779807
1995-11-20,,,,,,,,,,,,0.018141496888802067
1995-11-21,,,,,,,,,,,,-0.005470306909698408
1995-11-22,,,,,,,,,,,,0.021392142747319376
1995-11-23,,,,,,,,,,,,-0.0008816967127751596
1995-11-24,,,,,,,,,,,,-0.015384603245424344
1995-11-27,,,,,,,,,,,,-0.0028981927295657073
1995-11-28,,,,,,,,,,,,0.0008703401092322594
1995-11-29,,,,,,,,,,,,-0.018058426609537825
1995-11-30,,,,,,,,,,,,-0.009152994109467016
1995-12-01,,,,,,,,,,,,0.006802122007945499
1995-12-04,,,,,,,,,,,,0.013272301004130682
1995-12-05,,,,,,,,,,,,0.027476403912221947
1995-12-06,,,,,,,,,,,,0.012799142202925218
1995-12-07,,,,,,,,,,,,0.01704665751179313
1995-12-08,,,,,,,,,,,,0.00406296840652054
1995-12-13,,,,,,,,,,,,0.02170985359197264
1995-12-14,,,,,,,,,,,,0.04998479269152334
1995-12-15,,,,,,,,,,,,-3.6567750904659135e-05
1995-12-18,,,,,,,,,,,,-0.012301394444916625
1995-12-19,,,,,,,,,,,,0.02634214896661291
1995-12-20,,,,,,,,,,,,0.0076272723130745845
1995-12-21,,,,,,,,,,,,-0.03431501069821685
1995-12-22,,,,,,,,,,,,-0.007931926524565647
1995-12-25,,,,,,,,,,,,0.013852125975260421
1995-12-26,,,,,,,,,,,,0.004469185416162702
1995-12-27,,,,,,,,,,,,0.007242836027456789
1995-12-28,,,,,,,,,,,,0.005696436092299528
1996-01-09,,,,,,,,,,,,0.0520359122459535
1996-01-10,,,,,,,,,,,,0.038494793564566976
1996-01-11,,,,,,,,,,,,0.004594171953691273
1996-01-12,,,,,,,,,,,,-0.013268327951854175
1996-01-15,,,,,,,,,,,,0.008156263917499018
1996-01-16,,,,,,,,,,,,-0.035472826768359944
1996-01-17,,,,,,,,,,,,-0.07001138601293189
1996-01-18,,,,,,,,,,,,0.023507140491118683
1996-01-19,,,,,,,,,,,,0.017245282983598287
1996-01-22,,,,,,,,,,,,0.002689168037712797
1996-01-23,,,,,,,,,,,,-0.029019959979616594
1996-01-24,,,,,,,,,,,,-0.013295450147566612
1996-01-25,,,,,,,,,,,,-0.04719487269047029
1996-01-26,,,,,,,,,,,,0.028174439584151223
1996-01-29,,,,,,,,,,,,0.0019930747273804172
1996-01-30,,,,,,,,,,,,0.00730296789034135
1996-01-31,,,,,,,,,,,,-0.0029569165709499856
1996-02-01,,,,,,,,,,,,0.0059543839219236006
1996-02-02,,,,,,,,,,,,0.028772849814009405
1996-02-05,,,,,,,,,,,,-4.787093995517466e-05
1996-02-06,,,,,,,,,,,,0.0
1996-02-07,,,,,,,,,,,,-0.03341634550305361
1996-02-08,,,,,,,,,,,,0.0008534903943822059
1996-02-09,,,,,,,,,,,,-0.005678874530188338
1996-02-12,,,,,,,,,,,,-0.020489250851952967
1996-02-13,,,,,,,,,,,,-0.014098152049212942
1996-02-14,,,,,,,,,,,,0.0019032682794284383
1996-02-15,,,,,,,,,,,,0.00035967064833020146
1996-02-16,,,,,,,,,,,,-0.006700796949790977
1996-02-19,,,,,,,,,,,,-0.015492469319273283
1996-02-20,,,,,,,,,,,,-0.02160954807696669
1996-02-21,,,,,,,,,,,,-0.03133412057856333
1996-02-22,,,,,,,,,,,,-0.019446591164995475
1996-02-23,,,,,,,,,,,,0.04903483090632754
1996-02-26,,,,,,,,,,,,-0.009440084149177075
1996-02-27,,,,,,,,,,,,-0.012424724975410584
1996-02-28,,,,,,,,,,,,-0.004364684707102384
1996-02-29,,,,,,,,,,,,-0.016178183801866197
1996-03-01,,,,,,,,,,,,-0.01520469032053473
1996-03-04,,,,,,,,,,,,-0.014572206859090997
1996-03-05,,,,,,,,,,,,0.01347522345314811
1996-03-06,,,,,,,,,,,,-0.0008270945213038061
1996-03-07,,,,,,,,,,,,-0.002270894265348211
1996-03-11,,,,,,,,,,,,-5.719596769893087e-05
1996-03-12,,,,,,,,,,,,-0.005276073544655091
1996-03-13,,,,,,,,,,,,-0.02721970150370101
1996-03-14,,,,,,,,,,,,0.011207767311899985
1996-03-15,,,,,,,,,,,,-0.007992709827584932
1996-03-18,,,,,,,,,,,,-0.018261887436399782
1996-03-19,,,,,,,,,,,,0.008912568606621818
1996-03-20,,,,,,,,,,,,0.02389370092444043
1996-03-21,,,,,,,,,,,,0.04314233049660743
1996-03-22,,,,,,,,,,,,0.03789783675038905
1996-03-25,,,,,,,,,,,,0.019952967194506677
1996-03-26,,,,,,,,,,,,0.021952385842780586
1996-03-27,,,,,,,,,,,,-0.026145705033290056
1996-03-28,,,,,,,,,,,,-0.009981946074845816
1996-03-29,,,,,,,,,,,,0.006260299505616018
1996-04-01,,,,,,,,,,,,0.025159462996511728
1996-04-02,,,,,,,,,,,,0.03814949065410911
1996-04-03,,,,,,,,,,,,0.04951386541580227
1996-04-04,,,,,,,,,,,,-0.008528558138100273
1996-04-05,,,,,,,,,,,,-0.02952163618215664
1996-04-08,,,,,,,,,,,,0.018477623828336398
1996-04-09,,,,,,,,,,,,0.014682585197729026
1996-04-10,,,,,,,,,,,,-0.004174775469850012
1996-04-11,,,,,,,,,,,,0.02157695479754196
1996-04-12,,,,,,,,,,,,0.009773501513635985
1996-04-15,,,,,,,,,,,,0.009816170774831434
1996-04-16,,,,,,,,,,,,0.06382552953561405
1996-04-17,,,,,,,,,,,,0.02007843600281678
1996-04-18,,,,,,,,,,,,-0.029696486705679703
1996-04-19,,,,,,,,,,,,-0.029098438220881206
1996-04-22,,,,,,,,,,,,0.01940886190963198
1996-04-23,,,,,,,,,,,,0.02877027451872749
1996-04-24,,,,,,,,,,,,0.048023004634790034
1996-04-25,,,,,,,,,,,,0.09584147684915578
1996-04-26,,,,,,,,,,,,-0.03260695743227249
1996-04-29,,,,,,,,,,,,-0.008270271465873336
1996-04-30,,,,,,,,,,,,-0.0029291034363261303
1996-05-06,,,,,,,,,,,,0.021841771728903225
1996-05-07,,,,,,,,,,,,0.033548967528012064
1996-05-08,,,,,,,,,,,,0.014606878953954627
